rank,ticker,classification,confidence_score,best_hypothese,best_model,best_vwap_mode,best_wait_min,best_horizon,best_ret_moy_pct,test_ret_moy_pct,best_sharpe,best_n_trades,random_side_percentile,random_ts_percentile,cost_break_even_bps,limit_touch_best_ret_moy_pct,train_ret_moy_pct,train_sharpe,test_sharpe,walk_forward_positive_ratio,pct_preopen_entries,main_warning,interpretation_short,research_bucket
1,RVLV,A_CLEAN_MACRO_SIGNAL,86,DRIFT,MACRO_VWAP_CLOSE_CROSS,tol_bps,120,close,0.36500130574757206,0.05133439922466972,3.509109958179895,1488,100.0,100.0,50,0.2736896526515279,0.4811100501510773,3.635228352878545,0.3617516627500893,0.8,99.2,PRE_OPEN dominant,"Signal macro propre, robuste, execution VWAP credible.",Core candidate
2,SMTC,A_CLEAN_MACRO_SIGNAL,82,FADE,MACRO_VWAP_CLOSE_CROSS,strict,30,15min,0.16079527318905384,0.13512669155261653,7.0545354129218145,2104,99.0,100.0,20,0.07172962228951668,0.17239839325245376,6.768245234343715,2.8894569673634822,1.0,99.4,PRE_OPEN dominant,"Signal macro propre, robuste, execution VWAP credible.",Core candidate
3,VIAV,A_CLEAN_MACRO_SIGNAL,82,FADE,MACRO_VWAP_CLOSE_CROSS,tol_bps,120,30min,0.12129600194745109,0.08737541697665682,5.780520305052161,2086,100.0,100.0,20,0.0906717305826091,0.10986217371404407,5.163061737016982,2.6378013922057297,1.0,99.3,PRE_OPEN dominant,"Signal macro propre, robuste, execution VWAP credible.",Core candidate
4,SAM,A_CLEAN_MACRO_SIGNAL,80,FADE,MACRO_VWAP_CLOSE_CROSS,tol_atr,30,15min,0.10994929368456008,0.041478053142934804,5.2556704221861485,1905,100.0,100.0,20,0.0754908357599141,0.14243603552048603,5.641374663522545,1.114234347740712,0.7777777777777778,99.4,PRE_OPEN dominant,"Signal macro propre, robuste, execution VWAP credible.",Core candidate
5,REAL,C_VWAP_DRIVEN_OR_SUSPECT,77,DRIFT,MACRO_VWAP_CLOSE_CROSS,tol_bps,30,close,0.4185504316766067,0.14129976519648177,2.960710280867545,1343,99.0,100.0,50,0.22490424062262307,0.5110590949708689,3.268204918949154,0.44768154370042645,0.8,99.1,random side proche du vrai modele ou time-shift fort. | PRE_OPEN dominant,"Edge surtout VWAP/intraday, peu lie a la direction macro.",VWAP-driven / suspect
6,PLAY,C_VWAP_DRIVEN_OR_SUSPECT,67,FADE,MACRO_VWAP_CLOSE_CROSS,strict,60,15min,0.10076026128362199,0.01954215985542363,2.9368698176081183,2143,87.0,100.0,20,0.09691965807447622,0.13084277318772974,2.69304274487939,0.46622125005447534,0.7777777777777778,99.4,random side proche du vrai modele ou time-shift fort. | PRE_OPEN dominant,"Edge surtout VWAP/intraday, peu lie a la direction macro.",VWAP-driven / suspect
7,IRTC,C_VWAP_DRIVEN_OR_SUSPECT,66,FADE,MACRO_VWAP_CLOSE_CROSS,strict,60,15min,0.18594233349556338,0.16074380135581484,4.860627118933278,1917,83.0,100.0,20,0.16596832102595394,0.1936407963756099,4.008115909535899,2.8451429098134295,0.875,99.4,random side proche du vrai modele ou time-shift fort. | PRE_OPEN dominant,"Edge surtout VWAP/intraday, peu lie a la direction macro.",VWAP-driven / suspect
8,LONDON-STRATEGIC-EDGE,C_VWAP_DRIVEN_OR_SUSPECT,58,DRIFT,MACRO_VWAP_CLOSE_CROSS,strict,120,15min,0.25693506216327405,0.1223923927715128,5.719220369298617,1897,77.0,100.0,30,0.1330278416015978,0.31300288107335816,5.504864260877656,1.7903208087853841,1.0,99.3,random side proche du vrai modele ou time-shift fort. | PRE_OPEN dominant,"Edge surtout VWAP/intraday, peu lie a la direction macro.",VWAP-driven / suspect
9,VSAT,C_VWAP_DRIVEN_OR_SUSPECT,53,FADE,MACRO_VWAP_CLOSE_CROSS,tol_bps,30,15min,0.11535651902634445,0.02727156565140147,4.829273569980521,2049,76.0,100.0,20,0.04206788980499259,0.1878035332741301,6.021309100349017,0.3003287708969854,0.8888888888888888,99.4,random side proche du vrai modele ou time-shift fort. | PRE_OPEN dominant,"Edge surtout VWAP/intraday, peu lie a la direction macro.",VWAP-driven / suspect
10,KOP,D_REJECT,52,DRIFT,MACRO_VWAP_CLOSE_CROSS,tol_bps,60,close,0.26975793762250005,-0.03805038041443144,4.4753896349344515,2065,99.0,100.0,30,0.17684599740636603,0.15410198319128582,4.444655795341661,-0.9313727869475715,0.7777777777777778,99.3,ne survit pas a un ou plusieurs tests cles. | PRE_OPEN dominant,"Fragile : test faible/negatif, couts, ou ne bat pas random.",Reject
11,BLFS,C_VWAP_DRIVEN_OR_SUSPECT,51,FADE,MACRO_VWAP_CLOSE_CROSS,tol_bps,60,15min,0.2191566651474526,0.1339228853510054,4.450273735911645,2017,66.0,100.0,30,0.08845617136395992,0.27322585097081814,2.70346190205135,0.7907550989958341,0.8888888888888888,99.4,random side proche du vrai modele ou time-shift fort. | PRE_OPEN dominant,"Edge surtout VWAP/intraday, peu lie a la direction macro.",VWAP-driven / suspect
12,GPRO,C_VWAP_DRIVEN_OR_SUSPECT,48,FADE,MACRO_VWAP_CLOSE_CROSS,tol_atr,30,120min,0.13593015302629513,0.10071007343311511,2.4530857926695493,2031,78.0,100.0,20,0.04734612835953724,0.13538369259182417,1.855422134422527,1.3497519300695544,0.5555555555555556,99.4,random side proche du vrai modele ou time-shift fort. | ~130% perf sur 2018 | PRE_OPEN dominant,"Edge surtout VWAP/intraday, peu lie a la direction macro.",VWAP-driven / suspect
